"date","mjd","trans"
2014-10-31,56961,NA
2014-11-01,56962,NA
2014-11-02,56963,NA
2014-11-03,56964,NA
2014-11-04,56965,NA
2014-11-05,56966,NA
2014-11-06,56967,0.342077365929403
2014-11-07,56968,0.309907035768936
2014-11-08,56969,NA
2014-11-09,56970,0.346041762989631
2014-11-10,56971,0.34067104561812
2014-11-11,56972,NA
2014-11-12,56973,0.341681337731492
2014-11-13,56974,NA
2014-11-14,56975,NA
2014-11-15,56976,NA
2014-11-16,56977,0.313942477775165
2014-11-17,56978,NA
2014-11-18,56979,NA
2014-11-19,56980,NA
2014-11-20,56981,NA
2014-11-21,56982,NA
2014-11-22,56983,NA
2014-11-23,56984,NA
2014-11-24,56985,NA
2014-11-25,56986,0.372665150383688
2014-11-26,56987,0.355647717340131
2014-11-27,56988,0.372486582977239
2014-11-28,56989,NA
2014-11-29,56990,NA
2014-11-30,56991,NA
2014-12-01,56992,NA
2014-12-02,56993,NA
2014-12-03,56994,0.363414710609597
2014-12-04,56995,0.3660492524838
2014-12-05,56996,0.363798887750598
2014-12-06,56997,NA
2014-12-07,56998,0.350950118141676
2014-12-08,56999,0.364338561479186
2014-12-09,57000,NA
2014-12-10,57001,NA
2014-12-11,57002,NA
2014-12-12,57003,NA
2014-12-13,57004,NA
2014-12-14,57005,0.370022491888865
2014-12-15,57006,NA
2014-12-16,57007,0.363334203306563
2014-12-17,57008,0.355183096075171
2014-12-18,57009,0.358171559091609
2014-12-19,57010,0.366970292343211
2014-12-20,57011,NA
2014-12-21,57012,NA
2014-12-22,57013,NA
2014-12-23,57014,0.313090184902762
2014-12-24,57015,0.330564993297849
2014-12-25,57016,NA
2014-12-26,57017,0.353777812152706
2014-12-27,57018,NA
2014-12-28,57019,NA
2014-12-29,57020,NA
2014-12-30,57021,NA
2014-12-31,57022,NA
2015-01-01,57023,NA
2015-01-02,57024,NA
2015-01-03,57025,NA
2015-01-04,57026,NA
2015-01-05,57027,0.361569628348642
2015-01-06,57028,0.355219557413003
2015-01-07,57029,0.360833436671049
2015-01-08,57030,NA
2015-01-09,57031,NA
2015-01-10,57032,NA
2015-01-11,57033,NA
2015-01-12,57034,NA
2015-01-13,57035,NA
2015-01-14,57036,NA
2015-01-15,57037,0.34953585506351
2015-01-16,57038,0.353881471896408
2015-01-17,57039,0.348584709719892
2015-01-18,57040,0.344215083348969
2015-01-19,57041,NA
2015-01-20,57042,0.348852443208301
2015-01-21,57043,NA
2015-01-22,57044,0.350629701957588
2015-01-23,57045,0.354004992483769
2015-01-24,57046,0.348370921175432
2015-01-25,57047,0.35017129123592
2015-01-26,57048,0.352943928918227
2015-01-27,57049,0.351230278366785
2015-01-28,57050,NA
2015-01-29,57051,NA
2015-01-30,57052,0.344407964991254
2015-01-31,57053,NA
2015-02-01,57054,NA
2015-02-02,57055,NA
2015-02-03,57056,NA
2015-02-04,57057,0.351647283390157
2015-02-05,57058,0.338964251978301
2015-02-06,57059,NA
2015-02-07,57060,0.346926487910027
2015-02-08,57061,NA
2015-02-09,57062,NA
2015-02-10,57063,NA
2015-02-11,57064,NA
2015-02-12,57065,0.357421969995761
2015-02-13,57066,0.362888242856595
2015-02-14,57067,0.348710651777608
2015-02-15,57068,0.355937721687997
2015-02-16,57069,NA
2015-02-17,57070,0.355622069477773
2015-02-18,57071,NA
2015-02-19,57072,NA
2015-02-20,57073,NA
2015-02-21,57074,NA
2015-02-22,57075,NA
2015-02-23,57076,NA
2015-02-24,57077,0.339853445074485
2015-02-25,57078,0.347918912375528
2015-02-26,57079,0.353916679179396
2015-02-27,57080,0.347649887710338
2015-02-28,57081,0.352350749338204
2015-03-01,57082,0.351173585802932
2015-03-02,57083,0.349025271154697
2015-03-03,57084,NA
2015-03-04,57085,NA
2015-03-05,57086,0.346903682325852
2015-03-06,57087,0.343212275643862
2015-03-07,57088,NA
2015-03-08,57089,NA
2015-03-09,57090,NA
2015-03-10,57091,0.33258801616659
2015-03-11,57092,0.339252699835235
2015-03-12,57093,0.337734062088343
2015-03-13,57094,0.325899233470429
2015-03-14,57095,0.346842537800693
2015-03-15,57096,0.336533770884666
2015-03-16,57097,0.339493864868608
2015-03-17,57098,NA
2015-03-18,57099,NA
2015-03-19,57100,NA
2015-03-20,57101,NA
2015-03-21,57102,NA
2015-03-22,57103,NA
2015-03-23,57104,NA
2015-03-24,57105,NA
2015-03-25,57106,NA
2015-03-26,57107,NA
2015-03-27,57108,NA
2015-03-28,57109,0.347828988982272
2015-03-29,57110,0.352934232404988
2015-03-30,57111,NA
2015-03-31,57112,NA
2015-04-01,57113,NA
2015-04-02,57114,NA
2015-04-03,57115,NA
2015-04-04,57116,NA
2015-04-05,57117,0.345283697144797
2015-04-06,57118,0.338708794807489
2015-04-07,57119,0.341215868417128
2015-04-08,57120,0.345366273818851
2015-04-09,57121,0.340050312087408
2015-04-10,57122,0.343175906016094
2015-04-11,57123,0.343598935316787
2015-04-12,57124,0.340671371102932
2015-04-13,57125,0.343975612812968
2015-04-14,57126,NA
2015-04-15,57127,0.343610193227394
2015-04-16,57128,0.342790113005772
2015-04-17,57129,0.341211218272221
2015-04-18,57130,0.342148129130711
2015-04-19,57131,0.346848246827347
2015-04-20,57132,0.346031069980981
2015-04-21,57133,0.332515217305811
2015-04-22,57134,NA
2015-04-23,57135,0.34354376631351
2015-04-24,57136,0.314249403116408
2015-04-25,57137,0.3511477665035
2015-04-26,57138,NA
2015-04-27,57139,0.347482262452447
2015-04-28,57140,NA
2015-04-29,57141,NA
2015-04-30,57142,NA
2015-05-01,57143,NA
2015-05-02,57144,0.349480490644198
2015-05-03,57145,NA
2015-05-04,57146,NA
2015-05-05,57147,NA
2015-05-06,57148,0.345966674152668
2015-05-07,57149,0.356390737398313
2015-05-08,57150,0.351507705212971
2015-05-09,57151,0.343461197396931
2015-05-10,57152,0.354197581626869
2015-05-11,57153,NA
2015-05-12,57154,NA
2015-05-13,57155,NA
2015-05-14,57156,NA
2015-05-15,57157,NA
2015-05-16,57158,NA
2015-05-17,57159,NA
2015-05-18,57160,0.306298817720048
2015-05-19,57161,0.331016241789027
2015-05-20,57162,0.30090726851528
2015-05-21,57163,NA
2015-05-22,57164,NA
2015-05-23,57165,NA
2015-05-24,57166,NA
2015-05-25,57167,0.337828476276763
2015-05-26,57168,NA
2015-05-27,57169,NA
2015-05-28,57170,0.329934831609239
2015-05-29,57171,0.342381615373577
2015-05-30,57172,0.340172899751693
2015-05-31,57173,0.34353146087585
2015-06-01,57174,0.344511546237222
2015-06-02,57175,0.340237573472896
2015-06-03,57176,0.337694861018289
2015-06-04,57177,0.339777496663396
2015-06-05,57178,0.316822346902421
2015-06-06,57179,NA
2015-06-07,57180,0.299301601986406
2015-06-08,57181,0.323842139312293
2015-06-09,57182,NA
2015-06-10,57183,0.343241963739214
2015-06-11,57184,0.335514205906975
2015-06-12,57185,NA
2015-06-13,57186,0.333839797737442
2015-06-14,57187,NA
2015-06-15,57188,0.327779418321996
2015-06-16,57189,NA
2015-06-17,57190,NA
2015-06-18,57191,NA
2015-06-19,57192,NA
2015-06-20,57193,NA
2015-06-21,57194,NA
